GO,Cluster,Function
GO:0150024,3,P:oxidised low-density lipoprotein particle clearance
GO:0015912,23,P:short-chain fatty acid transport
GO:1902000,11,P:homogentisate catabolic process
GO:0072707,12,P:cellular response to sodium dodecyl sulfate
GO:1901989,2,P:positive regulation of cell cycle phase transition
GO:0033343,42,P:positive regulation of collagen binding
GO:1905772,30,P:positive regulation of mesodermal cell differentiation
GO:0060217,30,P:hemangioblast cell differentiation
GO:1905269,42,P:positive regulation of chromatin organization
GO:0060375,37,P:regulation of mast cell differentiation
GO:0043438,4,P:acetoacetic acid metabolic process
GO:0002451,35,P:peripheral B cell tolerance induction
GO:1902206,13,P:negative regulation of interleukin-2-mediated signaling pathway
GO:1902215,13,P:negative regulation of interleukin-4-mediated signaling pathway
GO:1902233,39,P:negative regulation of positive thymic T cell selection
GO:1900046,23,P:regulation of hemostasis
GO:0021771,23,P:lateral geniculate nucleus development
GO:0042320,23,"P:regulation of circadian sleep/wake cycle, REM sleep"
GO:0061614,23,P:miRNA transcription
GO:0002435,23,P:immune complex clearance by erythrocytes
GO:0071674,31,P:mononuclear cell migration
GO:0036323,45,P:vascular endothelial growth factor receptor-1 signaling pathway
GO:0043921,23,P:modulation by host of viral transcription
GO:2000109,14,P:regulation of macrophage apoptotic process
GO:0044053,23,P:translocation of peptides or proteins into host cell cytoplasm
GO:1901751,4,P:leukotriene A4 metabolic process
GO:2001306,17,P:lipoxin B4 biosynthetic process
GO:0033559,4,P:unsaturated fatty acid metabolic process
GO:0045951,19,P:positive regulation of mitotic recombination
GO:1901145,14,P:mesenchymal cell apoptotic process involved in nephron morphogenesis
GO:0072040,14,P:negative regulation of mesenchymal cell apoptotic process involved in nephron morphogenesis
GO:0098759,12,P:cellular response to interleukin-8
GO:0072110,32,P:glomerular mesangial cell proliferation
GO:0072303,32,P:positive regulation of glomerular metanephric mesangial cell proliferation
GO:1901875,42,P:positive regulation of post-translational protein modification
GO:1904702,8,P:regulation of protein localization to adherens junction
GO:0042747,23,"P:circadian sleep/wake cycle, REM sleep"
GO:0016101,4,P:diterpenoid metabolic process
GO:0002270,10,P:plasmacytoid dendritic cell activation
GO:0055002,22,P:striated muscle cell development
GO:0061394,21,P:regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance
GO:0070982,4,P:L-asparagine metabolic process
GO:0061395,21,P:positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance
GO:0036091,21,P:positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress
GO:1903893,42,P:positive regulation of ATF6-mediated unfolded protein response
GO:1903461,23,P:Okazaki fragment processing involved in mitotic DNA replication
GO:1904877,42,P:positive regulation of DNA ligase activity
GO:0062112,17,P:fatty acid primary amide biosynthetic process
GO:0018032,23,P:protein amidation
GO:0006547,4,P:histidine metabolic process
GO:0060945,23,P:cardiac neuron differentiation
GO:0001980,33,P:regulation of systemic arterial blood pressure by ischemic conditions
GO:0000717,23,"P:nucleotide-excision repair, DNA duplex unwinding"
GO:1900225,43,P:regulation of NLRP3 inflammasome complex assembly
GO:0072302,32,P:negative regulation of metanephric glomerular mesangial cell proliferation
GO:0097185,12,P:cellular response to azide
GO:0035874,12,P:cellular response to copper ion starvation
GO:0009445,4,P:putrescine metabolic process
GO:0006206,4,P:pyrimidine nucleobase metabolic process
GO:0048878,23,P:chemical homeostasis
GO:0072240,30,P:metanephric DCT cell differentiation
GO:0072227,23,P:metanephric macula densa development
GO:0150098,0,P:glial cell-neuron signaling
GO:0061670,23,P:evoked neurotransmitter secretion
GO:0099161,23,P:regulation of presynaptic dense core granule exocytosis
GO:0042749,23,P:regulation of circadian sleep/wake cycle
GO:0021647,23,P:vestibulocochlear nerve maturation
GO:1905956,42,P:positive regulation of endothelial tube morphogenesis
GO:0009932,23,P:cell tip growth
GO:0003058,23,P:hormonal regulation of the force of heart contraction
GO:0003099,42,P:positive regulation of the force of heart contraction by chemical signal
GO:1990092,23,P:calcium-dependent self proteolysis
GO:1990709,23,P:presynaptic active zone organization
GO:0045112,17,P:integrin biosynthetic process
GO:0098737,49,P:protein insertion into plasma membrane
GO:0043413,23,P:macromolecule glycosylation
GO:0031104,23,P:dendrite regeneration
GO:1905000,46,P:regulation of membrane repolarization during atrial cardiac muscle cell action potential
GO:1905031,46,P:regulation of membrane repolarization during cardiac muscle cell action potential
GO:0061534,23,"P:gamma-aminobutyric acid secretion, neurotransmission"
GO:0061535,23,"P:glutamate secretion, neurotransmission"
GO:0098597,23,P:observational learning
GO:0033027,37,P:positive regulation of mast cell apoptotic process
GO:0045685,44,P:regulation of glial cell differentiation
GO:1901557,23,P:response to fenofibrate
GO:0003245,5,P:cardiac muscle tissue growth involved in heart morphogenesis
GO:0038171,13,P:cannabinoid signaling pathway
GO:0060405,23,P:regulation of penile erection
GO:0098746,41,"P:fast, calcium ion-dependent exocytosis of neurotransmitter"
GO:1903235,41,P:positive regulation of calcium ion-dependent exocytosis of neurotransmitter
GO:0071911,23,P:synchronous neurotransmitter secretion
GO:0072666,8,P:establishment of protein localization to vacuole
GO:0070429,13,P:negative regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway
GO:0034148,45,P:negative regulation of toll-like receptor 5 signaling pathway
GO:0061043,23,P:regulation of vascular wound healing
GO:0033026,37,P:negative regulation of mast cell apoptotic process
GO:0046086,17,P:adenosine biosynthetic process
GO:0038178,13,P:complement component C5a signaling pathway
GO:0099172,23,P:presynapse organization
GO:0035803,23,P:egg coat formation
GO:2000388,42,P:positive regulation of antral ovarian follicle growth
GO:0001809,42,P:positive regulation of type IV hypersensitivity
GO:0110099,41,P:negative regulation of calcium import into the mitochondrion
GO:1905091,42,P:positive regulation of parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization
GO:0035603,45,P:fibroblast growth factor receptor signaling pathway involved in hemopoiesis
GO:0035602,45,P:fibroblast growth factor receptor signaling pathway involved in negative regulation of apoptotic process in bone marrow cell
GO:0035607,45,P:fibroblast growth factor receptor signaling pathway involved in orbitofrontal cortex development
GO:0035604,45,P:fibroblast growth factor receptor signaling pathway involved in positive regulation of cell proliferation in bone marrow
GO:0060601,23,P:lateral sprouting from an epithelium
GO:0045924,23,P:regulation of female receptivity
GO:0003429,23,P:growth plate cartilage chondrocyte morphogenesis
GO:1904015,12,P:cellular response to serotonin
GO:2000425,23,P:regulation of apoptotic cell clearance
GO:0019678,4,"P:propionate metabolic process, methylmalonyl pathway"
GO:1901290,17,P:succinyl-CoA biosynthetic process
GO:1904411,42,P:positive regulation of secretory granule organization
GO:0046084,17,P:adenine biosynthetic process
GO:1905935,2,P:positive regulation of cell fate determination
GO:0051796,39,P:negative regulation of timing of catagen
GO:1902910,42,P:positive regulation of melanosome transport
GO:0060901,13,P:regulation of hair cycle by canonical Wnt signaling pathway
GO:0002875,39,P:negative regulation of chronic inflammatory response to antigenic stimulus
GO:1903034,23,P:regulation of response to wounding
GO:0032223,39,"P:negative regulation of synaptic transmission, cholinergic"
GO:0032385,42,P:positive regulation of intracellular cholesterol transport
GO:0045940,4,P:positive regulation of steroid metabolic process
GO:0070980,11,P:biphenyl catabolic process
GO:0045990,21,P:carbon catabolite regulation of transcription
GO:0086050,46,P:membrane repolarization during bundle of His cell action potential
GO:0086052,46,P:membrane repolarization during SA node cell action potential
GO:1902178,45,P:fibroblast growth factor receptor apoptotic signaling pathway
GO:0048640,39,P:negative regulation of developmental growth
GO:1990539,49,P:fructose import across plasma membrane
GO:0003044,33,P:regulation of systemic arterial blood pressure mediated by a chemical signal
GO:0014860,28,P:neurotransmitter secretion involved in regulation of skeletal muscle contraction
GO:0009589,23,P:detection of UV
GO:0046984,1,P:regulation of hemoglobin biosynthetic process
GO:0090030,1,P:regulation of steroid hormone biosynthetic process
GO:0000715,23,"P:nucleotide-excision repair, DNA damage recognition"
GO:0090122,23,P:cholesterol ester hydrolysis involved in cholesterol transport
GO:1904188,39,P:negative regulation of transformation of host cell by virus
GO:1903442,23,P:response to lipoic acid
GO:0036255,23,P:response to methylamine
GO:0006436,7,P:tryptophanyl-tRNA aminoacylation
GO:0045738,39,P:negative regulation of DNA repair
GO:1902546,42,P:positive regulation of DNA N-glycosylase activity
GO:0061481,23,P:response to TNF agonist
GO:1905703,39,P:negative regulation of inhibitory synapse assembly
GO:1900281,47,"P:positive regulation of CD4-positive, alpha-beta T cell costimulation"
GO:2000572,42,P:positive regulation of interleukin-4-dependent isotype switching to IgE isotypes
GO:0035713,23,P:response to nitrogen dioxide
GO:0035712,23,P:T-helper 2 cell activation
GO:0071965,23,P:multicellular organismal locomotion
GO:1900082,11,P:negative regulation of arginine catabolic process
GO:1903249,1,P:negative regulation of citrulline biosynthetic process
GO:0098736,39,P:negative regulation of the force of heart contraction
GO:2000977,23,P:regulation of forebrain neuron differentiation
GO:0060872,23,P:semicircular canal development
GO:2000607,32,P:negative regulation of cell proliferation involved in mesonephros development
GO:2000703,45,P:negative regulation of fibroblast growth factor receptor signaling pathway involved in ureteric bud formation
GO:2000734,44,P:negative regulation of glial cell-derived neurotrophic factor receptor signaling pathway involved in ureteric bud formation
GO:2000683,12,P:regulation of cellular response to X-ray
GO:0001806,23,P:type IV hypersensitivity
GO:0009645,23,P:response to low light intensity stimulus
GO:0051460,39,P:negative regulation of corticotropin secretion
GO:1900011,39,P:negative regulation of corticotropin-releasing hormone receptor activity
GO:0051459,23,P:regulation of corticotropin secretion
GO:0009956,23,P:radial pattern formation
GO:0035645,22,P:enteric smooth muscle cell differentiation
GO:1990839,23,P:response to endothelin
GO:1904205,28,P:negative regulation of skeletal muscle hypertrophy
GO:1902224,4,P:ketone body metabolic process
GO:0072229,23,P:metanephric proximal convoluted tubule development
GO:1902860,17,P:propionyl-CoA biosynthetic process
GO:0060739,6,P:mesenchymal-epithelial cell signaling involved in prostate gland development
GO:1901170,11,P:naphthalene catabolic process
GO:0038112,13,P:interleukin-8-mediated signaling pathway
GO:0072173,23,P:metanephric tubule morphogenesis
GO:0032597,23,P:B cell receptor transport into membrane raft
GO:0032600,23,P:chemokine receptor transport out of membrane raft
GO:0032913,39,P:negative regulation of transforming growth factor beta3 production
GO:1901081,5,P:negative regulation of relaxation of smooth muscle
GO:0003108,39,P:negative regulation of the force of heart contraction by chemical signal
GO:1905871,8,P:regulation of protein localization to cell leading edge
GO:1904317,12,P:cellular response to 2-O-acetyl-1-O-hexadecyl-sn-glycero-3-phosphocholine
GO:0071258,12,P:cellular response to gravity
GO:1904303,42,P:positive regulation of maternal process involved in parturition
GO:1900134,39,P:negative regulation of renin secretion into blood stream
GO:1903644,23,P:regulation of chaperone-mediated protein folding
GO:1903495,12,P:cellular response to dehydroepiandrosterone
GO:0098902,46,P:regulation of membrane depolarization during action potential
GO:0021905,23,P:forebrain-midbrain boundary formation
GO:0021778,9,P:oligodendrocyte cell fate specification
GO:0003322,22,P:pancreatic A cell development
GO:0006049,11,P:UDP-N-acetylglucosamine catabolic process
GO:0032075,42,P:positive regulation of nuclease activity
GO:1904246,39,P:negative regulation of polynucleotide adenylyltransferase activity
GO:1901835,42,P:positive regulation of deadenylation-independent decapping of nuclear-transcribed mRNA
GO:1901585,23,P:regulation of acid-sensing ion channel activity
GO:0046434,11,P:organophosphate catabolic process
GO:2000657,39,P:negative regulation of apolipoprotein binding
GO:0120116,23,P:glucagon processing
GO:0072721,12,P:cellular response to dithiothreitol
GO:0036146,12,P:cellular response to mycotoxin
GO:0097698,23,P:telomere maintenance via base-excision repair
GO:1901293,17,P:nucleoside phosphate biosynthetic process
GO:0009104,11,P:lipopolysaccharide catabolic process
GO:0002399,43,P:MHC class II protein complex assembly
GO:0035905,23,P:ascending aorta development
GO:0035906,23,P:descending aorta development
GO:2000586,45,P:regulation of platelet-derived growth factor receptor-beta signaling pathway
GO:1900120,3,P:regulation of receptor binding
GO:0042413,11,P:carnitine catabolic process
GO:0043397,23,P:regulation of corticotropin-releasing hormone secretion
GO:1905247,42,P:positive regulation of aspartic-type peptidase activity
GO:0071971,23,P:extracellular exosome assembly
GO:0072254,30,P:metanephric glomerular mesangial cell differentiation
GO:1900035,12,P:negative regulation of cellular response to heat
GO:0001113,48,P:transcription open complex formation at RNA polymerase II promoter
GO:0007354,23,"P:zygotic determination of anterior/posterior axis, embryo"
GO:0045938,42,"P:positive regulation of circadian sleep/wake cycle, sleep"
GO:0002882,42,P:positive regulation of chronic inflammatory response to non-antigenic stimulus
GO:0060035,22,P:notochord cell development
GO:0106028,23,P:neuron projection retraction
GO:2000316,35,P:regulation of T-helper 17 type immune response
GO:1901159,17,P:xylulose 5-phosphate biosynthetic process
GO:0014740,24,P:negative regulation of muscle hyperplasia
GO:1902307,20,P:positive regulation of sodium ion transmembrane transport
GO:0098924,23,P:retrograde trans-synaptic signaling by nitric oxide
GO:0032938,39,P:negative regulation of translation in response to oxidative stress
GO:0010522,41,P:regulation of calcium ion transport into cytosol
GO:1903487,23,P:regulation of lactation
GO:0035378,20,P:carbon dioxide transmembrane transport
GO:0072220,23,P:metanephric descending thin limb development
GO:0072232,23,P:metanephric proximal convoluted tubule segment 2 development
GO:0072230,23,P:metanephric proximal straight tubule development
GO:0045634,23,P:regulation of melanocyte differentiation
GO:2001057,4,P:reactive nitrogen species metabolic process
GO:0043105,39,P:negative regulation of GTP cyclohydrolase I activity
GO:0046705,17,P:CDP biosynthetic process
GO:0051232,23,P:meiotic spindle elongation
GO:0010939,23,P:regulation of necrotic cell death
GO:0010849,23,"P:regulation of proton-transporting ATPase activity, rotational mechanism"
GO:1990127,13,P:intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator
GO:1902239,13,P:negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator
GO:0043322,39,P:negative regulation of natural killer cell degranulation
GO:0003092,23,P:renal water retention
GO:0060359,23,P:response to ammonium ion
GO:1903147,39,P:negative regulation of autophagy of mitochondrion
GO:2000853,39,P:negative regulation of corticosterone secretion
GO:0042323,39,"P:negative regulation of circadian sleep/wake cycle, non-REM sleep"
GO:0032900,39,P:negative regulation of neurotrophin production
GO:0032244,42,P:positive regulation of nucleoside transport
GO:0035998,17,"P:7,8-dihydroneopterin 3'-triphosphate biosynthetic process"
GO:0042559,17,P:pteridine-containing compound biosynthetic process
GO:0071545,11,P:inositol phosphate catabolic process
GO:0010720,2,P:positive regulation of cell development
GO:1902761,42,P:positive regulation of chondrocyte development
GO:0060847,9,P:endothelial cell fate specification
GO:1903367,42,P:positive regulation of fear response
GO:0070409,17,P:carbamoyl phosphate biosynthetic process
GO:1901341,42,P:positive regulation of store-operated calcium channel activity
GO:0014064,42,P:positive regulation of serotonin secretion
GO:0090067,23,P:regulation of thalamus size
GO:0060709,30,P:glycogen cell differentiation involved in embryonic placenta development
GO:0019049,23,P:mitigation of host antiviral defense response
GO:0110002,23,P:regulation of tRNA methylation
GO:0038111,13,P:interleukin-7-mediated signaling pathway
GO:0002335,30,P:mature B cell differentiation
GO:0044355,23,P:clearance of foreign intracellular DNA
GO:0002266,10,P:follicular dendritic cell activation
GO:0002436,23,P:immune complex clearance by monocytes and macrophages
GO:0001814,39,P:negative regulation of antibody-dependent cellular cytotoxicity
GO:0001811,39,P:negative regulation of type I hypersensitivity
GO:0002622,25,P:regulation of B cell antigen processing and presentation
GO:0090264,23,P:regulation of immune complex clearance by monocytes and macrophages
GO:0098926,23,P:postsynaptic signal transduction
GO:0048852,23,P:diencephalon morphogenesis
GO:2000526,17,P:positive regulation of glycoprotein biosynthetic process involved in immunological synapse formation
GO:0002885,42,P:positive regulation of hypersensitivity
GO:2000525,2,P:positive regulation of T cell costimulation
GO:2000547,10,P:regulation of dendritic cell dendrite assembly
GO:2000458,23,P:regulation of astrocyte chemotaxis
GO:0014056,23,"P:regulation of acetylcholine secretion, neurotransmission"
GO:0071217,12,P:cellular response to external biotic stimulus
GO:0045980,4,P:negative regulation of nucleotide metabolic process
GO:0008655,23,P:pyrimidine-containing compound salvage
GO:0044557,5,P:relaxation of smooth muscle
GO:0044524,23,P:protein sulfhydration
GO:0018272,23,P:protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine
GO:0070729,23,P:cyclic nucleotide transport
GO:0099039,23,P:sphingolipid translocation
GO:0015919,23,P:peroxisomal membrane transport
GO:0036113,11,P:very long-chain fatty-acyl-CoA catabolic process
GO:0033316,23,P:meiotic spindle assembly checkpoint signaling
GO:1903096,8,P:protein localization to meiotic spindle midzone
GO:0008052,23,P:sensory organ boundary specification
GO:0061193,23,P:taste bud development
GO:1904482,12,P:cellular response to tetrahydrofolate
GO:0045660,42,P:positive regulation of neutrophil differentiation
GO:0046272,11,P:stilbene catabolic process
GO:0061611,4,P:mannose to fructose-6-phosphate metabolic process
GO:0010578,45,P:regulation of adenylate cyclase activity involved in G protein-coupled receptor signaling pathway
GO:0044336,13,P:canonical Wnt signaling pathway involved in negative regulation of apoptotic process
GO:0061324,13,P:canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation
GO:0061550,23,P:cranial ganglion development
GO:0007403,44,P:glial cell fate determination
GO:0072497,30,P:mesenchymal stem cell differentiation
GO:1901247,30,P:negative regulation of lung ciliated cell differentiation
GO:1901251,30,P:positive regulation of lung goblet cell differentiation
GO:2000231,32,P:positive regulation of pancreatic stellate cell proliferation
GO:2000011,23,P:regulation of adaxial/abaxial pattern formation
GO:0001912,42,P:positive regulation of leukocyte mediated cytotoxicity
GO:1905226,6,P:regulation of adhesion of symbiont to host epithelial cell
GO:0140236,23,P:translation at presynapse
GO:2000184,17,P:positive regulation of progesterone biosynthetic process
GO:0001985,33,P:negative regulation of heart rate involved in baroreceptor response to increased systemic arterial blood pressure
GO:0071471,12,P:cellular response to non-ionic osmotic stress
GO:0061358,39,P:negative regulation of Wnt protein secretion
GO:2000420,39,P:negative regulation of eosinophil extravasation
GO:1904325,42,P:positive regulation of inhibitory G protein-coupled receptor phosphorylation
GO:1903596,23,P:regulation of gap junction assembly
GO:0060602,23,P:branch elongation of an epithelium
GO:0005984,4,P:disaccharide metabolic process
GO:0030211,11,P:heparin catabolic process
GO:0100001,28,P:regulation of skeletal muscle contraction by action potential
GO:0006535,17,P:cysteine biosynthetic process from serine
GO:0060854,18,P:branching involved in lymph vessel morphogenesis
GO:0051695,23,P:actin filament uncapping
GO:1990442,13,P:intrinsic apoptotic signaling pathway in response to nitrosative stress
GO:1900200,14,P:mesenchymal cell apoptotic process involved in metanephros development
GO:0061296,14,P:negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis
GO:0039020,23,P:pronephric nephron tubule development
GO:0035565,23,P:regulation of pronephros size
GO:0060677,23,P:ureteric bud elongation
GO:0080058,23,P:protein deglutathionylation
GO:0086044,22,P:atrial cardiac muscle cell to AV node cell communication by electrical coupling
GO:0003174,23,P:mitral valve development
GO:0010652,2,P:positive regulation of cell communication by chemical coupling
GO:0086055,22,P:Purkinje myocyte to ventricular cardiac muscle cell communication by electrical coupling
GO:0098906,46,P:regulation of Purkinje myocyte action potential
GO:1990029,23,P:vasomotion
GO:0006152,11,P:purine nucleoside catabolic process
GO:0070407,11,P:oxidation-dependent protein catabolic process
GO:1905285,23,P:fibrous ring of heart morphogenesis
GO:0021998,23,P:neural plate mediolateral regionalization
GO:0048352,23,P:paraxial mesoderm structural organization
GO:1904414,42,P:positive regulation of cardiac ventricle development
GO:0048378,9,P:regulation of lateral mesodermal cell fate specification
GO:0043062,23,P:extracellular structure organization
GO:0048534,23,P:hematopoietic or lymphoid organ development
GO:0001193,21,P:maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II
GO:1905317,23,P:inferior endocardial cushion morphogenesis
GO:0002663,35,P:positive regulation of B cell tolerance induction
GO:0002651,35,P:positive regulation of tolerance induction to self antigen
GO:1904597,39,P:negative regulation of connective tissue replacement involved in inflammatory response wound healing
GO:0060694,23,P:regulation of cholesterol transporter activity
GO:0045338,4,P:farnesyl diphosphate metabolic process
GO:0010464,32,P:regulation of mesenchymal cell proliferation
GO:0019682,4,P:glyceraldehyde-3-phosphate metabolic process
GO:0051585,39,P:negative regulation of dopamine uptake involved in synaptic transmission
GO:0032769,39,P:negative regulation of monooxygenase activity
GO:0051622,39,P:negative regulation of norepinephrine uptake
GO:1903284,42,P:positive regulation of glutathione peroxidase activity
GO:1903285,11,P:positive regulation of hydrogen peroxide catabolic process
GO:0035543,43,P:positive regulation of SNARE complex assembly
GO:0050812,17,P:regulation of acyl-CoA biosynthetic process
GO:0010517,23,P:regulation of phospholipase activity
GO:0070512,38,P:positive regulation of histone H4-K20 methylation
GO:0072715,12,P:cellular response to selenite ion
GO:1904570,39,P:negative regulation of selenocysteine incorporation
GO:1904574,39,P:negative regulation of selenocysteine insertion sequence binding
GO:1905164,42,P:positive regulation of phagosome maturation
GO:1904905,39,P:negative regulation of endothelial cell-matrix adhesion via fibronectin
GO:0099140,23,P:presynaptic actin cytoskeleton organization
GO:1990960,23,P:basophil homeostasis
GO:0006769,4,P:nicotinamide metabolic process
GO:0007387,23,P:anterior compartment pattern formation
GO:0007388,23,P:posterior compartment specification
GO:1901194,39,P:negative regulation of formation of translation preinitiation complex
GO:0043060,23,P:meiotic metaphase I plate congression
GO:0072663,8,P:establishment of protein localization to peroxisome
GO:1900131,39,P:negative regulation of lipid binding
GO:0045062,23,P:extrathymic T cell selection
GO:0036164,23,P:cell-abiotic substrate adhesion
GO:0071298,12,P:cellular response to L-ascorbic acid
GO:2000486,39,P:negative regulation of glutamine transport
GO:1904651,14,P:positive regulation of fat cell apoptotic process
GO:0060587,23,P:regulation of lipoprotein lipid oxidation
GO:1903464,19,P:negative regulation of mitotic cell cycle DNA replication
GO:0043380,30,P:regulation of memory T cell differentiation
GO:1904465,39,P:negative regulation of matrix metallopeptidase secretion
GO:0150072,42,P:positive regulation of arginase activity
GO:0140194,45,P:negative regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process
GO:0036517,34,P:chemoattraction of serotonergic neuron axon
GO:1904934,15,P:negative regulation of cell proliferation in midbrain
GO:0061350,5,P:planar cell polarity pathway involved in cardiac muscle tissue morphogenesis
GO:0061349,23,P:planar cell polarity pathway involved in cardiac right atrium morphogenesis
GO:1904955,23,P:planar cell polarity pathway involved in midbrain dopaminergic neuron differentiation
GO:0061347,23,P:planar cell polarity pathway involved in outflow tract morphogenesis
GO:0061354,23,P:planar cell polarity pathway involved in pericardium morphogenesis
GO:0061348,23,P:planar cell polarity pathway involved in ventricular septum morphogenesis
GO:2000719,39,"P:negative regulation of maintenance of mitotic sister chromatid cohesion, centromeric"
GO:0060398,45,P:regulation of growth hormone receptor signaling pathway
GO:0070150,7,P:mitochondrial glycyl-tRNA aminoacylation
GO:0051958,23,P:methotrexate transport
GO:0043310,39,P:negative regulation of eosinophil degranulation
GO:2000464,42,P:positive regulation of astrocyte chemotaxis
GO:2000451,47,"P:positive regulation of CD8-positive, alpha-beta T cell extravasation"
GO:0035705,15,P:T-helper 17 cell chemotaxis
GO:0072308,6,P:negative regulation of metanephric nephron tubule epithelial cell differentiation
GO:0070666,37,P:regulation of mast cell proliferation
GO:0071384,12,P:cellular response to corticosteroid stimulus
GO:0043170,4,P:macromolecule metabolic process
GO:2000224,17,P:regulation of testosterone biosynthetic process
GO:1903544,23,P:response to butyrate
GO:0014870,23,P:response to muscle inactivity
GO:0140754,23,P:reorganization of cellular membranes to establish viral sites of replication
GO:0002625,25,P:regulation of T cell antigen processing and presentation
GO:0099627,23,P:neurotransmitter receptor cycle
GO:0099630,23,P:postsynaptic neurotransmitter receptor cycle
GO:0010816,11,P:calcitonin catabolic process
GO:0034959,23,P:endothelin maturation
GO:0033274,23,P:response to vitamin B2
GO:0098810,23,P:neurotransmitter reuptake
GO:0042883,23,P:cysteine transport
GO:0070777,23,P:D-aspartate transport
GO:0098877,49,P:neurotransmitter receptor transport to plasma membrane
GO:0090313,27,P:regulation of protein targeting to membrane
GO:0072347,23,P:response to anesthetic
GO:0034589,23,P:hydroxyproline transport
GO:0015826,23,P:threonine transport
GO:0002204,35,P:somatic recombination of immunoglobulin genes involved in immune response
GO:0045002,23,P:double-strand break repair via single-strand annealing
GO:0051866,23,P:general adaptation syndrome
GO:0032752,42,P:positive regulation of interleukin-3 production
GO:0090237,23,P:regulation of arachidonic acid secretion
GO:0032928,23,P:regulation of superoxide anion generation
GO:0071693,23,P:protein transport within extracellular region
GO:0031128,23,P:developmental induction
GO:0021877,23,P:forebrain neuron fate commitment
GO:1903612,41,P:positive regulation of calcium-dependent ATPase activity
GO:0006083,4,P:acetate metabolic process
GO:0032272,27,P:negative regulation of protein polymerization
GO:0031343,2,P:positive regulation of cell killing
GO:0140207,49,P:tripeptide import across plasma membrane
GO:1901582,21,P:positive regulation of telomeric RNA transcription from RNA pol II promoter
GO:1990859,12,P:cellular response to endothelin
GO:0061847,23,P:response to cholecystokinin
GO:1903977,44,P:positive regulation of glial cell migration
GO:0003182,23,P:coronary sinus valve morphogenesis
GO:0007440,23,P:foregut morphogenesis
GO:0003270,13,P:Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation
GO:0060768,6,P:regulation of epithelial cell proliferation involved in prostate gland development
GO:0042670,30,P:retinal cone cell differentiation
GO:0060843,30,P:venous endothelial cell differentiation
GO:0021700,23,P:developmental maturation
GO:0051915,23,P:induction of synaptic plasticity by chemical substance
GO:0044111,23,P:formation of structure involved in a symbiotic process
GO:0046824,42,P:positive regulation of nucleocytoplasmic transport
GO:1903703,23,P:enterocyte differentiation
GO:0046874,4,P:quinolinate metabolic process
GO:1903496,23,P:response to 11-deoxycorticosterone
GO:1903494,23,P:response to dehydroepiandrosterone
GO:1903697,39,P:negative regulation of microvillus assembly
GO:1904442,6,P:negative regulation of thyroid gland epithelial cell proliferation
GO:0021768,23,P:nucleus accumbens development
GO:0090075,23,P:relaxation of muscle
GO:0061682,23,P:seminal vesicle morphogenesis
GO:0009114,11,P:hypoxanthine catabolic process
GO:0009115,11,P:xanthine catabolic process
GO:0035782,23,P:mature natural killer cell chemotaxis
GO:2000518,39,P:negative regulation of T-helper 1 cell activation
GO:2000513,42,P:positive regulation of granzyme A production
GO:1903514,41,P:release of sequestered calcium ion into cytosol by endoplasmic reticulum
GO:0060092,23,"P:regulation of synaptic transmission, glycinergic"
GO:1902551,23,P:regulation of catalase activity
GO:1903282,23,P:regulation of glutathione peroxidase activity
GO:0061323,32,P:cell proliferation involved in heart morphogenesis
GO:0060517,32,P:epithelial cell proliferation involved in prostatic bud elongation
GO:0002683,39,P:negative regulation of immune system process
GO:0061046,18,P:regulation of branching involved in lung morphogenesis
GO:0060784,32,P:regulation of cell proliferation involved in tissue homeostasis
GO:2000794,18,P:regulation of epithelial cell proliferation involved in lung morphogenesis
GO:0016104,17,P:triterpenoid biosynthetic process
GO:0035229,42,P:positive regulation of glutamate-cysteine ligase activity
GO:0001543,23,P:ovarian follicle rupture
GO:0030844,42,P:positive regulation of intermediate filament depolymerization
GO:0097379,34,P:dorsal spinal cord interneuron posterior axon guidance
GO:0001705,23,P:ectoderm formation
GO:0072283,23,P:metanephric renal vesicle morphogenesis
GO:0035849,23,P:nephric duct elongation
GO:0072077,23,P:renal vesicle morphogenesis
GO:0035847,23,P:uterine epithelium development
GO:1904842,23,P:response to nitroglycerin
GO:0019442,11,P:tryptophan catabolic process to acetyl-CoA
GO:0150090,23,"P:multiple spine synapse organization, single dendrite"
GO:1904150,39,P:negative regulation of microglial cell mediated cytotoxicity
GO:0006014,4,P:D-ribose metabolic process
GO:0015707,23,P:nitrite transport
GO:0015692,41,P:lead ion transport
GO:0015675,23,P:nickel cation transport
GO:0015676,41,P:vanadium ion transport
GO:0045213,4,P:neurotransmitter receptor metabolic process
