,GO,Cluster,Function
749,GO:0019244,17,P:lactate biosynthetic process from pyruvate
750,GO:1904828,17,P:positive regulation of hydrogen sulfide biosynthetic process
751,GO:0070981,17,P:L-asparagine biosynthetic process
752,GO:0002812,17,P:biosynthetic process of antibacterial peptides active against Gram-negative bacteria
753,GO:1901753,17,P:leukotriene A4 biosynthetic process
754,GO:2001301,17,P:lipoxin biosynthetic process
755,GO:0006780,17,P:uroporphyrinogen III biosynthetic process
756,GO:0006222,17,P:UMP biosynthetic process
757,GO:0009152,17,P:purine ribonucleotide biosynthetic process
758,GO:0009070,17,P:serine family amino acid biosynthetic process
759,GO:0010021,17,P:amylopectin biosynthetic process
760,GO:0006542,17,P:glutamine biosynthetic process
761,GO:2001306,17,P:lipoxin B4 biosynthetic process
762,GO:0062112,17,P:fatty acid primary amide biosynthetic process
763,GO:0045112,17,P:integrin biosynthetic process
764,GO:0046086,17,P:adenosine biosynthetic process
765,GO:1901290,17,P:succinyl-CoA biosynthetic process
766,GO:0046084,17,P:adenine biosynthetic process
767,GO:1902860,17,P:propionyl-CoA biosynthetic process
768,GO:1901293,17,P:nucleoside phosphate biosynthetic process
769,GO:1901159,17,P:xylulose 5-phosphate biosynthetic process
770,GO:0046705,17,P:CDP biosynthetic process
771,GO:0035998,17,"P:7,8-dihydroneopterin 3'-triphosphate biosynthetic process"
772,GO:0042559,17,P:pteridine-containing compound biosynthetic process
773,GO:0070409,17,P:carbamoyl phosphate biosynthetic process
774,GO:2000526,17,P:positive regulation of glycoprotein biosynthetic process involved in immunological synapse formation
775,GO:2000184,17,P:positive regulation of progesterone biosynthetic process
776,GO:0006535,17,P:cysteine biosynthetic process from serine
777,GO:0050812,17,P:regulation of acyl-CoA biosynthetic process
778,GO:2000224,17,P:regulation of testosterone biosynthetic process
779,GO:0016104,17,P:triterpenoid biosynthetic process
780,GO:0009396,17,P:folic acid-containing compound biosynthetic process
781,GO:0009309,17,P:amine biosynthetic process
782,GO:0032347,17,P:regulation of aldosterone biosynthetic process
783,GO:0006592,17,P:ornithine biosynthetic process
784,GO:0010189,17,P:vitamin E biosynthetic process
785,GO:0006175,17,P:dATP biosynthetic process
786,GO:0002780,17,P:antibacterial peptide biosynthetic process
787,GO:2000066,17,P:positive regulation of cortisol biosynthetic process
788,GO:0010557,17,P:positive regulation of macromolecule biosynthetic process
789,GO:0019242,17,P:methylglyoxal biosynthetic process
790,GO:0046101,17,P:hypoxanthine biosynthetic process
791,GO:0031392,17,P:regulation of prostaglandin biosynthetic process
792,GO:0051542,17,P:elastin biosynthetic process
793,GO:0046901,17,P:tetrahydrofolylpolyglutamate biosynthetic process
794,GO:0019483,17,P:beta-alanine biosynthetic process
795,GO:1900079,17,P:regulation of arginine biosynthetic process
796,GO:0032960,17,P:regulation of inositol trisphosphate biosynthetic process
797,GO:1903788,17,P:positive regulation of glutathione biosynthetic process
798,GO:1901827,17,P:zeaxanthin biosynthetic process
799,GO:0006185,17,P:dGDP biosynthetic process
800,GO:1901006,17,P:ubiquinone-6 biosynthetic process
801,GO:0010707,17,P:globoside biosynthetic process via lactosylceramide
802,GO:0000097,17,P:sulfur amino acid biosynthetic process
803,GO:0043041,17,P:amino acid activation for nonribosomal peptide biosynthetic process
804,GO:0009133,17,P:nucleoside diphosphate biosynthetic process
805,GO:0009124,17,P:nucleoside monophosphate biosynthetic process
806,GO:0043604,17,P:amide biosynthetic process
807,GO:0034627,17,P:'de novo' NAD biosynthetic process
808,GO:1901307,17,P:positive regulation of spermidine biosynthetic process
809,GO:0009446,17,P:putrescine biosynthetic process
810,GO:0019319,17,P:hexose biosynthetic process
811,GO:0016094,17,P:polyprenol biosynthetic process
812,GO:0046360,17,P:2-oxobutyrate biosynthetic process
813,GO:1900054,17,P:positive regulation of retinoic acid biosynthetic process
814,GO:0050652,17,"P:dermatan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process"
815,GO:0042181,17,P:ketone biosynthetic process
816,GO:0106342,17,P:omega-hydroxyceramide biosynthetic process
817,GO:0033320,17,P:UDP-D-xylose biosynthetic process
818,GO:0006747,17,P:FAD biosynthetic process
819,GO:0046380,17,P:N-acetylneuraminate biosynthetic process
820,GO:1905004,17,P:picolinic acid biosynthetic process
821,GO:1905012,17,P:regulation of 'de novo' NAD biosynthetic process from tryptophan
822,GO:0045210,17,P:FasL biosynthetic process
823,GO:0042983,17,P:amyloid precursor protein biosynthetic process
824,GO:0071266,17,P:'de novo' L-methionine biosynthetic process
825,GO:0009398,17,P:FMN biosynthetic process
826,GO:0009231,17,P:riboflavin biosynthetic process
827,GO:0035780,17,P:CD80 biosynthetic process
828,GO:1905695,17,P:positive regulation of phosphatidic acid biosynthetic process
829,GO:0046295,17,P:glycolate biosynthetic process
830,GO:1903197,17,P:positive regulation of L-dopa biosynthetic process
831,GO:0019290,17,P:siderophore biosynthetic process
832,GO:0070179,17,P:D-serine biosynthetic process
833,GO:0009229,17,P:thiamine diphosphate biosynthetic process
834,GO:0035238,17,P:vitamin A biosynthetic process
835,GO:0002815,17,P:biosynthetic process of antibacterial peptides active against Gram-positive bacteria
836,GO:0006965,17,P:positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria
837,GO:0001576,17,P:globoside biosynthetic process
838,GO:0006055,17,P:CMP-N-acetylneuraminate biosynthetic process
839,GO:0006669,17,P:sphinganine-1-phosphate biosynthetic process
840,GO:0019413,17,P:acetate biosynthetic process
841,GO:0019542,17,P:propionate biosynthetic process
842,GO:0071602,17,P:phytosphingosine biosynthetic process
843,GO:0046520,17,P:sphingoid biosynthetic process
844,GO:0042823,17,P:pyridoxal phosphate biosynthetic process
845,GO:0051790,17,P:short-chain fatty acid biosynthetic process
846,GO:0010566,17,P:regulation of ketone biosynthetic process
847,GO:0016132,17,P:brassinosteroid biosynthetic process
848,GO:0033396,17,P:beta-alanine biosynthetic process via 3-ureidopropionate
849,GO:0043048,17,P:dolichyl monophosphate biosynthetic process
850,GO:1903786,17,P:regulation of glutathione biosynthetic process
851,GO:0046293,17,P:formaldehyde biosynthetic process
852,GO:0000032,17,P:cell wall mannoprotein biosynthetic process
853,GO:0009234,17,P:menaquinone biosynthetic process
854,GO:0032194,17,"P:ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate"
855,GO:0042371,17,P:vitamin K biosynthetic process
856,GO:0006173,17,P:dADP biosynthetic process
857,GO:0044249,17,P:cellular biosynthetic process
858,GO:0010908,17,P:regulation of heparan sulfate proteoglycan biosynthetic process
859,GO:0033389,17,"P:putrescine biosynthetic process from arginine, using agmatinase"
860,GO:2000795,18,P:negative regulation of epithelial cell proliferation involved in lung morphogenesis
861,GO:1905492,18,P:positive regulation of branching morphogenesis of a nerve
862,GO:0061048,18,P:negative regulation of branching involved in lung morphogenesis
863,GO:0060683,18,P:regulation of branching involved in salivary gland morphogenesis by epithelial-mesenchymal signaling
864,GO:0060448,18,P:dichotomous subdivision of terminal units involved in lung branching
865,GO:0060503,18,P:bud dilation involved in lung branching
866,GO:0060598,18,P:dichotomous subdivision of terminal units involved in mammary gland duct morphogenesis
867,GO:0060854,18,P:branching involved in lymph vessel morphogenesis
868,GO:0061046,18,P:regulation of branching involved in lung morphogenesis
869,GO:2000794,18,P:regulation of epithelial cell proliferation involved in lung morphogenesis
870,GO:0060461,18,P:right lung morphogenesis
871,GO:0060678,18,P:dichotomous subdivision of terminal units involved in ureteric bud branching
872,GO:0061114,18,P:branching involved in pancreas morphogenesis
873,GO:0060460,18,P:left lung morphogenesis
874,GO:2000173,18,P:negative regulation of branching morphogenesis of a nerve
875,GO:0060668,18,P:regulation of branching involved in salivary gland morphogenesis by extracellular matrix-epithelial cell signaling
876,GO:0090189,18,P:regulation of branching involved in ureteric bud morphogenesis
877,GO:0060490,18,P:lateral sprouting involved in lung morphogenesis
878,GO:0060488,18,P:orthogonal dichotomous subdivision of terminal units involved in lung branching morphogenesis
879,GO:0060489,18,P:planar dichotomous subdivision of terminal units involved in lung branching morphogenesis
880,GO:1903463,19,P:regulation of mitotic cell cycle DNA replication
881,GO:0010965,19,P:regulation of mitotic sister chromatid separation
882,GO:0045951,19,P:positive regulation of mitotic recombination
883,GO:1903464,19,P:negative regulation of mitotic cell cycle DNA replication
884,GO:0045977,19,"P:positive regulation of mitotic cell cycle, embryonic"
885,GO:1902846,19,P:positive regulation of mitotic spindle elongation
886,GO:0009794,19,"P:regulation of mitotic cell cycle, embryonic"
887,GO:1904290,19,P:negative regulation of mitotic DNA damage checkpoint
888,GO:1904291,19,P:positive regulation of mitotic DNA damage checkpoint
889,GO:0046603,19,P:negative regulation of mitotic centrosome separation
890,GO:1902616,20,P:acyl carnitine transmembrane transport
891,GO:1902601,20,P:silver ion transmembrane transport
892,GO:1902311,20,P:regulation of copper ion transmembrane transport
893,GO:1903785,20,P:L-valine transmembrane transport
894,GO:1902307,20,P:positive regulation of sodium ion transmembrane transport
895,GO:0035378,20,P:carbon dioxide transmembrane transport
896,GO:1902358,20,P:sulfate transmembrane transport
897,GO:0006843,20,P:mitochondrial citrate transmembrane transport
898,GO:0015791,20,P:polyol transmembrane transport
899,GO:0090676,20,P:calcium ion transmembrane transport via low voltage-gated calcium channel
900,GO:0015782,20,P:CMP-N-acetylneuraminate transmembrane transport
901,GO:1990547,20,P:mitochondrial phosphate ion transmembrane transport
902,GO:1901684,20,P:arsenate ion transmembrane transport
903,GO:2000187,20,P:positive regulation of phosphate transmembrane transport
904,GO:0035672,20,P:oligopeptide transmembrane transport
905,GO:1904064,20,P:positive regulation of cation transmembrane transport
906,GO:1903712,20,P:cysteine transmembrane transport
907,GO:1903825,20,P:organic acid transmembrane transport
908,GO:0035349,20,P:coenzyme A transmembrane transport
909,GO:1903830,20,P:magnesium ion transmembrane transport
910,GO:0015913,20,P:short-chain fatty acid transmembrane transport
911,GO:0035382,20,P:sterol transmembrane transport
912,GO:0015730,20,P:propanoate transmembrane transport
913,GO:0035461,20,P:vitamin transmembrane transport
914,GO:1903713,20,P:asparagine transmembrane transport
915,GO:1904557,20,P:L-alanine transmembrane transport
916,GO:0015790,20,P:UDP-xylose transmembrane transport
917,GO:1990550,20,P:mitochondrial alpha-ketoglutarate transmembrane transport
918,GO:0015797,20,P:mannitol transmembrane transport
919,GO:1903790,20,P:guanine nucleotide transmembrane transport
920,GO:1990540,20,P:mitochondrial manganese ion transmembrane transport
921,GO:1990548,20,P:mitochondrial FAD transmembrane transport
922,GO:1903710,20,P:spermine transmembrane transport
923,GO:0015786,20,P:UDP-glucose transmembrane transport
924,GO:0090481,20,P:pyrimidine nucleotide-sugar transmembrane transport
925,GO:0034763,20,P:negative regulation of transmembrane transport
926,GO:1990822,20,P:basic amino acid transmembrane transport
927,GO:0140924,20,P:L-kynurenine transmembrane transport
928,GO:0015887,20,P:pantothenate transmembrane transport
929,GO:1990559,20,P:mitochondrial coenzyme A transmembrane transport
930,GO:0034486,20,P:vacuolar transmembrane transport
931,GO:0000117,21,P:regulation of transcription involved in G2/M transition of mitotic cell cycle
932,GO:2000730,21,P:regulation of termination of RNA polymerase I transcription
933,GO:0090282,21,P:positive regulation of transcription involved in G2/M transition of mitotic cell cycle
934,GO:0046016,21,P:positive regulation of transcription by glucose
935,GO:0061394,21,P:regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance
936,GO:0061395,21,P:positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance
937,GO:0036091,21,P:positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress
938,GO:0045990,21,P:carbon catabolite regulation of transcription
939,GO:0001193,21,P:maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II
940,GO:1901582,21,P:positive regulation of telomeric RNA transcription from RNA pol II promoter
941,GO:2000763,21,P:positive regulation of transcription from RNA polymerase II promoter involved in norepinephrine biosynthetic process
942,GO:1900461,21,P:positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter
943,GO:0090262,21,P:regulation of transcription-coupled nucleotide-excision repair
944,GO:0061586,21,P:positive regulation of transcription by transcription factor localization
945,GO:1900260,21,P:negative regulation of RNA-dependent RNA polymerase activity
946,GO:0000435,21,P:positive regulation of transcription from RNA polymerase II promoter by galactose
947,GO:0051039,21,P:positive regulation of transcription involved in meiotic cell cycle
948,GO:1905381,21,P:negative regulation of snRNA transcription by RNA polymerase II
949,GO:0045898,21,P:regulation of RNA polymerase II transcription preinitiation complex assembly
950,GO:2000806,21,"P:positive regulation of termination of RNA polymerase II transcription, poly(A)-coupled"
951,GO:0061400,21,P:positive regulation of transcription from RNA polymerase II promoter in response to calcium ion
952,GO:1900477,21,P:negative regulation of G1/S transition of mitotic cell cycle by negative regulation of transcription from RNA polymerase II promoter
953,GO:0006392,21,P:transcription elongation by mitochondrial RNA polymerase
954,GO:0001080,21,P:nitrogen catabolite activation of transcription from RNA polymerase II promoter
955,GO:1990113,21,P:RNA polymerase I assembly
956,GO:1990115,21,P:RNA polymerase III assembly
957,GO:1901836,21,P:regulation of transcription of nucleolar large rRNA by RNA polymerase I
958,GO:0061987,21,P:negative regulation of transcription from RNA polymerase II promoter by glucose
959,GO:0006386,21,P:termination of RNA polymerase III transcription
960,GO:0060118,22,P:vestibular receptor cell development
961,GO:0106134,22,P:positive regulation of cardiac muscle cell contraction
962,GO:0086018,22,P:SA node cell to atrial cardiac muscle cell signaling
963,GO:1905174,22,P:regulation of vascular associated smooth muscle cell dedifferentiation
964,GO:0072255,22,P:metanephric glomerular mesangial cell development
965,GO:1905176,22,P:positive regulation of vascular associated smooth muscle cell dedifferentiation
966,GO:1905932,22,P:positive regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching
967,GO:0060936,22,P:cardiac fibroblast cell development
968,GO:0002066,22,P:columnar/cuboidal epithelial cell development
969,GO:1904705,22,P:regulation of vascular associated smooth muscle cell proliferation
970,GO:0055002,22,P:striated muscle cell development
971,GO:0035645,22,P:enteric smooth muscle cell differentiation
972,GO:0003322,22,P:pancreatic A cell development
973,GO:0060035,22,P:notochord cell development
974,GO:0086044,22,P:atrial cardiac muscle cell to AV node cell communication by electrical coupling
975,GO:0086055,22,P:Purkinje myocyte to ventricular cardiac muscle cell communication by electrical coupling
976,GO:0061444,22,P:endocardial cushion cell development
977,GO:0086066,22,P:atrial cardiac muscle cell to AV node cell communication
978,GO:0086070,22,P:SA node cell to atrial cardiac muscle cell communication
979,GO:0086042,22,P:cardiac muscle cell-cardiac muscle cell adhesion
980,GO:0060133,22,P:somatotropin secreting cell development
981,GO:0060939,22,P:epicardium-derived cardiac fibroblast cell development
982,GO:2000357,22,P:negative regulation of kidney smooth muscle cell differentiation
983,GO:2000062,22,P:negative regulation of ureter smooth muscle cell differentiation
984,GO:2000358,22,P:positive regulation of kidney smooth muscle cell differentiation
985,GO:2000063,22,P:positive regulation of ureter smooth muscle cell differentiation
986,GO:0035675,22,P:neuromast hair cell development
987,GO:0070285,22,P:pigment cell development
988,GO:0072143,22,P:mesangial cell development
989,GO:1904199,22,P:positive regulation of regulation of vascular associated smooth muscle cell membrane depolarization
990,GO:0072016,22,P:glomerular parietal epithelial cell development
991,GO:2000691,22,P:negative regulation of cardiac muscle cell myoblast differentiation
992,GO:2000724,22,P:positive regulation of cardiac vascular smooth muscle cell differentiation
993,GO:2000723,22,P:negative regulation of cardiac vascular smooth muscle cell differentiation
994,GO:0051153,22,P:regulation of striated muscle cell differentiation
995,GO:0035677,22,P:posterior lateral line neuromast hair cell development
996,GO:1900101,23,P:regulation of endoplasmic reticulum unfolded protein response
997,GO:0043610,23,P:regulation of carbohydrate utilization
998,GO:0033301,23,P:cell cycle comprising mitosis without cytokinesis
999,GO:0061573,23,P:actin filament bundle retrograde transport
1000,GO:0061163,23,P:endoplasmic reticulum polarization
1001,GO:0042494,23,P:detection of bacterial lipoprotein
1002,GO:0036399,23,P:TCR signalosome assembly
1003,GO:0060820,23,P:inactivation of X chromosome by heterochromatin formation
1004,GO:0106040,23,P:regulation of GABA-A receptor activity
1005,GO:0071976,23,P:cell gliding
1006,GO:0120117,23,P:T cell meandering migration
1007,GO:0030034,23,P:microvillar actin bundle assembly
1008,GO:0002537,23,P:nitric oxide production involved in inflammatory response
1009,GO:0048571,23,P:long-day photoperiodism
1010,GO:0099637,23,P:neurotransmitter receptor transport
1011,GO:0015861,23,P:cytidine transport
1012,GO:0031037,23,P:myosin II filament disassembly
1013,GO:1990637,23,P:response to prolactin
1014,GO:0021688,23,P:cerebellar molecular layer formation
1015,GO:0090717,23,P:adaptive immune memory response involving T cells and B cells
1016,GO:0072175,23,P:epithelial tube formation
1017,GO:0002041,23,P:intussusceptive angiogenesis
1018,GO:0061196,23,P:fungiform papilla development
1019,GO:0009443,23,P:pyridoxal 5'-phosphate salvage
1020,GO:0050433,23,P:regulation of catecholamine secretion
1021,GO:0016182,23,P:synaptic vesicle budding from endosome
1022,GO:0051089,23,P:constitutive protein ectodomain proteolysis
1023,GO:0072432,23,P:response to G1 DNA damage checkpoint signaling
1024,GO:0034969,23,P:histone arginine methylation
1025,GO:0035246,23,P:peptidyl-arginine N-methylation
1026,GO:1903402,23,P:regulation of renal phosphate excretion
1027,GO:0032415,23,P:regulation of sodium:proton antiporter activity
1028,GO:0097291,23,P:renal phosphate ion absorption
1029,GO:0022616,23,P:DNA strand elongation
1030,GO:0001172,23,P:RNA-templated transcription
1031,GO:0140745,23,P:siRNA transcription
1032,GO:0150018,23,P:basal dendrite development
1033,GO:1905040,23,P:otic placode development
1034,GO:1904616,23,P:regulation of actin binding
1035,GO:0099145,23,P:regulation of exocytic insertion of neurotransmitter receptor to postsynaptic membrane
1036,GO:0021703,23,P:locus ceruleus development
1037,GO:0021642,23,P:trochlear nerve formation
1038,GO:0072003,23,P:kidney rudiment formation
1039,GO:0003339,23,P:regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis
1040,GO:0035150,23,P:regulation of tube size
1041,GO:0021548,23,P:pons development
1042,GO:0021539,23,P:subthalamus development
1043,GO:0009584,23,P:detection of visible light
1044,GO:1990679,23,P:histone H4-K12 deacetylation
1045,GO:0021757,23,P:caudate nucleus development
1046,GO:0021758,23,P:putamen development
1047,GO:0070731,23,P:cGMP transport
1048,GO:0034343,23,P:type III interferon production
1049,GO:0060436,23,P:bronchiole morphogenesis
1050,GO:0030538,23,P:embryonic genitalia morphogenesis
1051,GO:0061115,23,P:lung proximal/distal axis specification
1052,GO:0060879,23,P:semicircular canal fusion
1053,GO:0060661,23,P:submandibular salivary gland formation
1054,GO:0050823,23,P:peptide antigen stabilization
1055,GO:0018276,23,P:isopeptide cross-linking via N6-glycyl-L-lysine
1056,GO:0061343,23,P:cell adhesion involved in heart morphogenesis
1057,GO:0000481,23,P:maturation of 5S rRNA
1058,GO:0043519,23,P:regulation of myosin II filament organization
1059,GO:0006863,23,P:purine nucleobase transport
1060,GO:0021658,23,P:rhombomere 3 morphogenesis
1061,GO:2000027,23,P:regulation of animal organ morphogenesis
1062,GO:0086027,23,P:AV node cell to bundle of His cell signaling
1063,GO:0010045,23,P:response to nickel cation
1064,GO:0007066,23,P:female meiosis sister chromatid cohesion
1065,GO:0000707,23,P:meiotic DNA recombinase assembly
1066,GO:0010070,23,P:zygote asymmetric cell division
1067,GO:0071528,23,P:tRNA re-export from nucleus
1068,GO:0022410,23,P:circadian sleep/wake cycle process
1069,GO:0010840,23,"P:regulation of circadian sleep/wake cycle, wakefulness"
1070,GO:0035921,23,P:desmosome disassembly
1071,GO:0044085,23,P:cellular component biogenesis
1072,GO:0007063,23,P:regulation of sister chromatid cohesion
1073,GO:0002447,23,P:eosinophil mediated immunity
1074,GO:0140060,23,P:axon arborization
1075,GO:0035340,23,P:inosine transport
1076,GO:0001544,23,P:initiation of primordial ovarian follicle growth
1077,GO:0002274,23,P:myeloid leukocyte activation
1078,GO:2000410,23,P:regulation of thymocyte migration
1079,GO:0002518,23,P:lymphocyte chemotaxis across high endothelial venule
1080,GO:0098972,23,P:anterograde dendritic transport of mitochondrion
1081,GO:0034720,23,P:histone H3-K4 demethylation
1082,GO:2000870,23,P:regulation of progesterone secretion
1083,GO:0035283,23,P:central nervous system segmentation
1084,GO:0140708,23,P:CAT tailing
1085,GO:0031269,23,P:pseudopodium assembly
1086,GO:0034050,23,P:programmed cell death induced by symbiont
1087,GO:1901339,23,P:regulation of store-operated calcium channel activity
1088,GO:0048211,23,P:Golgi vesicle docking
1089,GO:0052373,23,P:suppression of symbiont entry into host
1090,GO:0003172,23,P:sinoatrial valve development
1091,GO:0140466,23,P:iron-sulfur cluster export from the mitochondrion
1092,GO:0042247,23,P:establishment of planar polarity of follicular epithelium
1093,GO:0097699,23,P:vascular endothelial cell response to fluid shear stress
1094,GO:1902954,23,P:regulation of early endosome to recycling endosome transport
1095,GO:0042023,23,P:DNA endoreduplication
1096,GO:0021988,23,P:olfactory lobe development
1097,GO:0051261,23,P:protein depolymerization
1098,GO:0036250,23,P:peroxisome transport along microtubule
1099,GO:0098787,23,P:mRNA cleavage involved in mRNA processing
1100,GO:0070054,23,"P:mRNA splicing, via endonucleolytic cleavage and ligation"
1101,GO:0021813,23,P:cell-cell adhesion involved in neuronal-glial interactions involved in cerebral cortex radial glia guided migration
1102,GO:0000388,23,P:spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)
1103,GO:0018400,23,P:peptidyl-proline hydroxylation to 3-hydroxy-L-proline
1104,GO:0048069,23,P:eye pigmentation
1105,GO:1905267,23,P:endonucleolytic cleavage involved in tRNA processing
1106,GO:0043979,23,P:histone H2B-K5 acetylation
1107,GO:0070302,23,P:regulation of stress-activated protein kinase signaling cascade
1108,GO:1900749,23,P:(R)-carnitine transport
1109,GO:0070715,23,P:sodium-dependent organic cation transport
1110,GO:1990506,23,P:mitotic DNA-templated DNA replication
1111,GO:0015843,23,P:methylammonium transport
1112,GO:0009855,23,P:determination of bilateral symmetry
1113,GO:0051418,23,P:microtubule nucleation by microtubule organizing center
1114,GO:1905413,23,P:regulation of dense core granule exocytosis
1115,GO:0050929,23,P:induction of negative chemotaxis
1116,GO:0097212,23,P:lysosomal membrane organization
1117,GO:0051641,23,P:cellular localization
1118,GO:0002364,23,P:NK T cell lineage commitment
1119,GO:1904292,23,P:regulation of ERAD pathway
1120,GO:0120168,23,P:detection of hot stimulus involved in thermoception
1121,GO:0120211,23,P:proacrosomal vesicle fusion
1122,GO:0060580,23,P:ventral spinal cord interneuron fate determination
1123,GO:0072716,23,P:response to actinomycin D
1124,GO:0072739,23,P:response to anisomycin
1125,GO:0072720,23,P:response to dithiothreitol
1126,GO:0072710,23,P:response to hydroxyurea
1127,GO:0009946,23,P:proximal/distal axis specification
1128,GO:0021512,23,P:spinal cord anterior/posterior patterning
1129,GO:1903242,23,P:regulation of cardiac muscle hypertrophy in response to stress
1130,GO:0110008,23,P:ncRNA deadenylation
1131,GO:0009451,23,P:RNA modification
1132,GO:0023061,23,P:signal release
1133,GO:1901301,23,P:regulation of cargo loading into COPII-coated vesicle
1134,GO:0090178,23,P:regulation of establishment of planar polarity involved in neural tube closure
1135,GO:0042038,23,"P:peptidyl-histidine methylation, to form tele-methylhistidine"
1136,GO:0090069,23,P:regulation of ribosome biogenesis
1137,GO:0061772,23,P:xenobiotic transport across blood-nerve barrier
1138,GO:0010968,23,P:regulation of microtubule nucleation
1139,GO:0015727,23,P:lactate transport
1140,GO:0110154,23,P:RNA decapping
1141,GO:0003144,23,P:embryonic heart tube formation
1142,GO:1990466,23,P:protein autosumoylation
1143,GO:0031427,23,P:response to methotrexate
1144,GO:0042773,23,P:ATP synthesis coupled electron transport
1145,GO:0006178,23,P:guanine salvage
1146,GO:1904157,23,P:DN4 thymocyte differentiation
1147,GO:0051296,23,P:establishment of meiotic spindle orientation
1148,GO:0032261,23,P:purine nucleotide salvage
1149,GO:0002016,23,P:regulation of blood volume by renin-angiotensin
1150,GO:0038002,23,P:endocrine signaling
1151,GO:0033059,23,P:cellular pigmentation
1152,GO:0048242,23,P:epinephrine secretion
1153,GO:0032903,23,P:regulation of nerve growth factor production
1154,GO:0048572,23,P:short-day photoperiodism
1155,GO:1905242,23,"P:response to 3,3',5-triiodo-L-thyronine"
1156,GO:0140460,23,P:response to Gram-negative bacterium
1157,GO:1901554,23,P:response to paracetamol
1158,GO:0090716,23,P:adaptive immune memory response
1159,GO:0032673,23,P:regulation of interleukin-4 production
1160,GO:0031109,23,P:microtubule polymerization or depolymerization
1161,GO:0010877,23,P:lipid transport involved in lipid storage
1162,GO:0045852,23,P:pH elevation
1163,GO:0061756,23,P:leukocyte adhesion to vascular endothelial cell
1164,GO:0033594,23,P:response to hydroxyisoflavone
1165,GO:0061692,23,P:cellular detoxification of hydrogen peroxide
1166,GO:0080184,23,P:response to phenylpropanoid
1167,GO:0032652,23,P:regulation of interleukin-1 production
1168,GO:0048773,23,P:erythrophore differentiation
1169,GO:0071000,23,P:response to magnetism
1170,GO:1904860,23,P:DNA synthesis involved in mitotic DNA replication
1171,GO:0021588,23,P:cerebellum formation
1172,GO:0022004,23,P:midbrain-hindbrain boundary maturation during brain development
1173,GO:0014896,23,P:muscle hypertrophy
1174,GO:1903048,23,P:regulation of acetylcholine-gated cation channel activity
1175,GO:0150054,23,P:regulation of postsynaptic neurotransmitter receptor diffusion trapping
1176,GO:0051611,23,P:regulation of serotonin uptake
1177,GO:0040034,23,"P:regulation of development, heterochronic"
1178,GO:0060681,23,P:branch elongation involved in ureteric bud branching
1179,GO:0072163,23,P:mesonephric epithelium development
1180,GO:0070091,23,P:glucagon secretion
1181,GO:0061888,23,P:regulation of astrocyte activation
1182,GO:0042313,23,P:protein kinase C deactivation
1183,GO:0043179,23,P:rhythmic excitation
1184,GO:0001910,23,P:regulation of leukocyte mediated cytotoxicity
1185,GO:0002182,23,P:cytoplasmic translational elongation
1186,GO:0003409,23,P:optic cup structural organization
1187,GO:0150103,23,P:reactive gliosis
1188,GO:0072286,23,P:metanephric connecting tubule development
1189,GO:0051249,23,P:regulation of lymphocyte activation
1190,GO:0000304,23,P:response to singlet oxygen
1191,GO:1903903,23,P:regulation of establishment of T cell polarity
1192,GO:0007344,23,P:pronuclear fusion
1193,GO:0060735,23,P:regulation of eIF2 alpha phosphorylation by dsRNA
1194,GO:0060699,23,P:regulation of endoribonuclease activity
1195,GO:0085017,23,P:entry into host cell by a symbiont-containing vacuole
1196,GO:0021683,23,P:cerebellar granular layer morphogenesis
1197,GO:0042628,23,P:mating plug formation
1198,GO:0061108,23,P:seminal vesicle epithelium development
1199,GO:0042745,23,P:circadian sleep/wake cycle
1200,GO:0045105,23,P:intermediate filament polymerization or depolymerization
1201,GO:1903935,23,P:response to sodium arsenite
1202,GO:0018153,23,P:isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine
1203,GO:1905572,23,P:ganglioside GM1 transport to membrane
1204,GO:0008049,23,P:male courtship behavior
1205,GO:0039654,23,P:fusion of virus membrane with host endosome membrane
1206,GO:0006168,23,P:adenine salvage
1207,GO:0140212,23,P:regulation of long-chain fatty acid import into cell
1208,GO:0046720,23,P:citric acid secretion
1209,GO:0097709,23,P:connective tissue replacement
1210,GO:0021812,23,P:neuronal-glial interaction involved in cerebral cortex radial glia guided migration
1211,GO:0015868,23,P:purine ribonucleotide transport
1212,GO:0003230,23,P:cardiac atrium development
1213,GO:0016038,23,P:absorption of visible light
1214,GO:0070208,23,P:protein heterotrimerization
1215,GO:0060032,23,P:notochord regression
1216,GO:0046865,23,P:terpenoid transport
1217,GO:0093001,23,P:glycolysis from storage polysaccharide through glucose-1-phosphate
1218,GO:0061615,23,P:glycolytic process through fructose-6-phosphate
1219,GO:0070947,23,P:neutrophil-mediated killing of fungus
1220,GO:0098786,23,P:biofilm matrix disassembly
