,Unnamed: 0,GO,Function
32923,32923,GO:1901875,P:positive regulation of post-translational protein modification
32951,32951,GO:1904702,P:regulation of protein localization to adherens junction
32966,32966,GO:0042747,"P:circadian sleep/wake cycle, REM sleep"
32967,32967,GO:0016101,P:diterpenoid metabolic process
33121,33121,GO:0002270,P:plasmacytoid dendritic cell activation
33166,33166,GO:0055002,P:striated muscle cell development
33188,33188,GO:0061394,P:regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance
33207,33207,GO:0070982,P:L-asparagine metabolic process
33225,33225,GO:0061395,P:positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance
33227,33227,GO:0036091,P:positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress
33245,33245,GO:1903893,P:positive regulation of ATF6-mediated unfolded protein response
33263,33263,GO:1903461,P:Okazaki fragment processing involved in mitotic DNA replication
33273,33273,GO:1904877,P:positive regulation of DNA ligase activity
33291,33291,GO:0062112,P:fatty acid primary amide biosynthetic process
33300,33300,GO:0018032,P:protein amidation
33382,33382,GO:0006547,P:histidine metabolic process
33428,33428,GO:0060945,P:cardiac neuron differentiation
33504,33504,GO:0001980,P:regulation of systemic arterial blood pressure by ischemic conditions
33550,33550,GO:0000717,"P:nucleotide-excision repair, DNA duplex unwinding"
33623,33623,GO:1900225,P:regulation of NLRP3 inflammasome complex assembly
33675,33675,GO:0072302,P:negative regulation of metanephric glomerular mesangial cell proliferation
33787,33787,GO:0097185,P:cellular response to azide
33789,33789,GO:0035874,P:cellular response to copper ion starvation
33792,33792,GO:0009445,P:putrescine metabolic process
33888,33888,GO:0006206,P:pyrimidine nucleobase metabolic process
34025,34025,GO:0048878,P:chemical homeostasis
34028,34028,GO:0072240,P:metanephric DCT cell differentiation
34030,34030,GO:0072227,P:metanephric macula densa development
34102,34102,GO:0150098,P:glial cell-neuron signaling
34127,34127,GO:0061670,P:evoked neurotransmitter secretion
34145,34145,GO:0099161,P:regulation of presynaptic dense core granule exocytosis
34248,34248,GO:0042749,P:regulation of circadian sleep/wake cycle
34340,34340,GO:0021647,P:vestibulocochlear nerve maturation
34388,34388,GO:1905956,P:positive regulation of endothelial tube morphogenesis
34508,34508,GO:0009932,P:cell tip growth
34512,34512,GO:0003058,P:hormonal regulation of the force of heart contraction
34525,34525,GO:0003099,P:positive regulation of the force of heart contraction by chemical signal
34533,34533,GO:1990092,P:calcium-dependent self proteolysis
34574,34574,GO:1990709,P:presynaptic active zone organization
34651,34651,GO:0045112,P:integrin biosynthetic process
34733,34733,GO:0098737,P:protein insertion into plasma membrane
34738,34738,GO:0043413,P:macromolecule glycosylation
34749,34749,GO:0031104,P:dendrite regeneration
34831,34831,GO:1905000,P:regulation of membrane repolarization during atrial cardiac muscle cell action potential
34832,34832,GO:1905031,P:regulation of membrane repolarization during cardiac muscle cell action potential
34857,34857,GO:0061534,"P:gamma-aminobutyric acid secretion, neurotransmission"
34858,34858,GO:0061535,"P:glutamate secretion, neurotransmission"
34892,34892,GO:0098597,P:observational learning
34904,34904,GO:0033027,P:positive regulation of mast cell apoptotic process
34915,34915,GO:0045685,P:regulation of glial cell differentiation
34953,34953,GO:1901557,P:response to fenofibrate
34973,34973,GO:0003245,P:cardiac muscle tissue growth involved in heart morphogenesis
35017,35017,GO:0038171,P:cannabinoid signaling pathway
35036,35036,GO:0060405,P:regulation of penile erection
35057,35057,GO:0098746,"P:fast, calcium ion-dependent exocytosis of neurotransmitter"
35059,35059,GO:1903235,P:positive regulation of calcium ion-dependent exocytosis of neurotransmitter
35071,35071,GO:0071911,P:synchronous neurotransmitter secretion
35079,35079,GO:0072666,P:establishment of protein localization to vacuole
35095,35095,GO:0070429,P:negative regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway
35103,35103,GO:0034148,P:negative regulation of toll-like receptor 5 signaling pathway
35120,35120,GO:0061043,P:regulation of vascular wound healing
35135,35135,GO:0033026,P:negative regulation of mast cell apoptotic process
35153,35153,GO:0046086,P:adenosine biosynthetic process
35284,35284,GO:0038178,P:complement component C5a signaling pathway
35300,35300,GO:0099172,P:presynapse organization
35384,35384,GO:0035803,P:egg coat formation
35391,35391,GO:2000388,P:positive regulation of antral ovarian follicle growth
35400,35400,GO:0001809,P:positive regulation of type IV hypersensitivity
35447,35447,GO:0110099,P:negative regulation of calcium import into the mitochondrion
35450,35450,GO:1905091,P:positive regulation of parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization
35482,35482,GO:0035603,P:fibroblast growth factor receptor signaling pathway involved in hemopoiesis
35484,35484,GO:0035602,P:fibroblast growth factor receptor signaling pathway involved in negative regulation of apoptotic process in bone marrow cell
35485,35485,GO:0035607,P:fibroblast growth factor receptor signaling pathway involved in orbitofrontal cortex development
35486,35486,GO:0035604,P:fibroblast growth factor receptor signaling pathway involved in positive regulation of cell proliferation in bone marrow
35492,35492,GO:0060601,P:lateral sprouting from an epithelium
35654,35654,GO:0045924,P:regulation of female receptivity
35676,35676,GO:0003429,P:growth plate cartilage chondrocyte morphogenesis
35697,35697,GO:1904015,P:cellular response to serotonin
35712,35712,GO:2000425,P:regulation of apoptotic cell clearance
35800,35800,GO:0019678,"P:propionate metabolic process, methylmalonyl pathway"
35801,35801,GO:1901290,P:succinyl-CoA biosynthetic process
35807,35807,GO:1904411,P:positive regulation of secretory granule organization
35841,35841,GO:0046084,P:adenine biosynthetic process
35861,35861,GO:1905935,P:positive regulation of cell fate determination
35883,35883,GO:0051796,P:negative regulation of timing of catagen
35890,35890,GO:1902910,P:positive regulation of melanosome transport
35892,35892,GO:0060901,P:regulation of hair cycle by canonical Wnt signaling pathway
35922,35922,GO:0002875,P:negative regulation of chronic inflammatory response to antigenic stimulus
35965,35965,GO:1903034,P:regulation of response to wounding
35980,35980,GO:0032223,"P:negative regulation of synaptic transmission, cholinergic"
36001,36001,GO:0032385,P:positive regulation of intracellular cholesterol transport
36002,36002,GO:0045940,P:positive regulation of steroid metabolic process
36010,36010,GO:0070980,P:biphenyl catabolic process
36104,36104,GO:0045990,P:carbon catabolite regulation of transcription
36141,36141,GO:0086050,P:membrane repolarization during bundle of His cell action potential
36142,36142,GO:0086052,P:membrane repolarization during SA node cell action potential
36209,36209,GO:1902178,P:fibroblast growth factor receptor apoptotic signaling pathway
36212,36212,GO:0048640,P:negative regulation of developmental growth
36324,36324,GO:1990539,P:fructose import across plasma membrane
36328,36328,GO:0003044,P:regulation of systemic arterial blood pressure mediated by a chemical signal
36346,36346,GO:0014860,P:neurotransmitter secretion involved in regulation of skeletal muscle contraction
36369,36369,GO:0009589,P:detection of UV
36376,36376,GO:0046984,P:regulation of hemoglobin biosynthetic process
36402,36402,GO:0090030,P:regulation of steroid hormone biosynthetic process
36440,36440,GO:0000715,"P:nucleotide-excision repair, DNA damage recognition"
36453,36453,GO:0090122,P:cholesterol ester hydrolysis involved in cholesterol transport
36475,36475,GO:1904188,P:negative regulation of transformation of host cell by virus
36577,36577,GO:1903442,P:response to lipoic acid
36578,36578,GO:0036255,P:response to methylamine
36586,36586,GO:0006436,P:tryptophanyl-tRNA aminoacylation
36596,36596,GO:0045738,P:negative regulation of DNA repair
36603,36603,GO:1902546,P:positive regulation of DNA N-glycosylase activity
36616,36616,GO:0061481,P:response to TNF agonist
36673,36673,GO:1905703,P:negative regulation of inhibitory synapse assembly
36836,36836,GO:1900281,"P:positive regulation of CD4-positive, alpha-beta T cell costimulation"
36847,36847,GO:2000572,P:positive regulation of interleukin-4-dependent isotype switching to IgE isotypes
36856,36856,GO:0035713,P:response to nitrogen dioxide
36859,36859,GO:0035712,P:T-helper 2 cell activation
36922,36922,GO:0071965,P:multicellular organismal locomotion
36958,36958,GO:1900082,P:negative regulation of arginine catabolic process
36963,36963,GO:1903249,P:negative regulation of citrulline biosynthetic process
36969,36969,GO:0098736,P:negative regulation of the force of heart contraction
37062,37062,GO:2000977,P:regulation of forebrain neuron differentiation
37066,37066,GO:0060872,P:semicircular canal development
37114,37114,GO:2000607,P:negative regulation of cell proliferation involved in mesonephros development
37120,37120,GO:2000703,P:negative regulation of fibroblast growth factor receptor signaling pathway involved in ureteric bud formation
37121,37121,GO:2000734,P:negative regulation of glial cell-derived neurotrophic factor receptor signaling pathway involved in ureteric bud formation
37152,37152,GO:2000683,P:regulation of cellular response to X-ray
37174,37174,GO:0001806,P:type IV hypersensitivity
37209,37209,GO:0009645,P:response to low light intensity stimulus
37368,37368,GO:0051460,P:negative regulation of corticotropin secretion
37369,37369,GO:1900011,P:negative regulation of corticotropin-releasing hormone receptor activity
37372,37372,GO:0051459,P:regulation of corticotropin secretion
37430,37430,GO:0009956,P:radial pattern formation
37462,37462,GO:0035645,P:enteric smooth muscle cell differentiation
37499,37499,GO:1990839,P:response to endothelin
37552,37552,GO:1904205,P:negative regulation of skeletal muscle hypertrophy
37591,37591,GO:1902224,P:ketone body metabolic process
37593,37593,GO:0072229,P:metanephric proximal convoluted tubule development
37594,37594,GO:1902860,P:propionyl-CoA biosynthetic process
37599,37599,GO:0060739,P:mesenchymal-epithelial cell signaling involved in prostate gland development
37636,37636,GO:1901170,P:naphthalene catabolic process
37689,37689,GO:0038112,P:interleukin-8-mediated signaling pathway
37690,37690,GO:0072173,P:metanephric tubule morphogenesis
37735,37735,GO:0032597,P:B cell receptor transport into membrane raft
37739,37739,GO:0032600,P:chemokine receptor transport out of membrane raft
37744,37744,GO:0032913,P:negative regulation of transforming growth factor beta3 production
37801,37801,GO:1901081,P:negative regulation of relaxation of smooth muscle
37803,37803,GO:0003108,P:negative regulation of the force of heart contraction by chemical signal
37879,37879,GO:1905871,P:regulation of protein localization to cell leading edge
37940,37940,GO:1904317,P:cellular response to 2-O-acetyl-1-O-hexadecyl-sn-glycero-3-phosphocholine
37943,37943,GO:0071258,P:cellular response to gravity
37957,37957,GO:1904303,P:positive regulation of maternal process involved in parturition
37994,37994,GO:1900134,P:negative regulation of renin secretion into blood stream
38152,38152,GO:1903644,P:regulation of chaperone-mediated protein folding
38249,38249,GO:1903495,P:cellular response to dehydroepiandrosterone
38432,38432,GO:0098902,P:regulation of membrane depolarization during action potential
38486,38486,GO:0021905,P:forebrain-midbrain boundary formation
38503,38503,GO:0021778,P:oligodendrocyte cell fate specification
38504,38504,GO:0003322,P:pancreatic A cell development
38585,38585,GO:0006049,P:UDP-N-acetylglucosamine catabolic process
38611,38611,GO:0032075,P:positive regulation of nuclease activity
38654,38654,GO:1904246,P:negative regulation of polynucleotide adenylyltransferase activity
38661,38661,GO:1901835,P:positive regulation of deadenylation-independent decapping of nuclear-transcribed mRNA
38791,38791,GO:1901585,P:regulation of acid-sensing ion channel activity
38805,38805,GO:0046434,P:organophosphate catabolic process
38863,38863,GO:2000657,P:negative regulation of apolipoprotein binding
38915,38915,GO:0120116,P:glucagon processing
38948,38948,GO:0072721,P:cellular response to dithiothreitol
38949,38949,GO:0036146,P:cellular response to mycotoxin
39001,39001,GO:0097698,P:telomere maintenance via base-excision repair
39003,39003,GO:1901293,P:nucleoside phosphate biosynthetic process
39146,39146,GO:0009104,P:lipopolysaccharide catabolic process
39162,39162,GO:0002399,P:MHC class II protein complex assembly
39277,39277,GO:0035905,P:ascending aorta development
39284,39284,GO:0035906,P:descending aorta development
39300,39300,GO:2000586,P:regulation of platelet-derived growth factor receptor-beta signaling pathway
39302,39302,GO:1900120,P:regulation of receptor binding
39330,39330,GO:0042413,P:carnitine catabolic process
39367,39367,GO:0043397,P:regulation of corticotropin-releasing hormone secretion
39606,39606,GO:1905247,P:positive regulation of aspartic-type peptidase activity
39638,39638,GO:0071971,P:extracellular exosome assembly
39645,39645,GO:0072254,P:metanephric glomerular mesangial cell differentiation
39647,39647,GO:1900035,P:negative regulation of cellular response to heat
39735,39735,GO:0001113,P:transcription open complex formation at RNA polymerase II promoter
39768,39768,GO:0007354,"P:zygotic determination of anterior/posterior axis, embryo"
39807,39807,GO:0045938,"P:positive regulation of circadian sleep/wake cycle, sleep"
39840,39840,GO:0002882,P:positive regulation of chronic inflammatory response to non-antigenic stimulus
39915,39915,GO:0060035,P:notochord cell development
39991,39991,GO:0106028,P:neuron projection retraction
40016,40016,GO:2000316,P:regulation of T-helper 17 type immune response
40146,40146,GO:1901159,P:xylulose 5-phosphate biosynthetic process
40282,40282,GO:0014740,P:negative regulation of muscle hyperplasia
40329,40329,GO:1902307,P:positive regulation of sodium ion transmembrane transport
40340,40340,GO:0098924,P:retrograde trans-synaptic signaling by nitric oxide
40391,40391,GO:0032938,P:negative regulation of translation in response to oxidative stress
40411,40411,GO:0010522,P:regulation of calcium ion transport into cytosol
40456,40456,GO:1903487,P:regulation of lactation
40493,40493,GO:0035378,P:carbon dioxide transmembrane transport
40523,40523,GO:0072220,P:metanephric descending thin limb development
40525,40525,GO:0072232,P:metanephric proximal convoluted tubule segment 2 development
40526,40526,GO:0072230,P:metanephric proximal straight tubule development
40566,40566,GO:0045634,P:regulation of melanocyte differentiation
40603,40603,GO:2001057,P:reactive nitrogen species metabolic process
40612,40612,GO:0043105,P:negative regulation of GTP cyclohydrolase I activity
40642,40642,GO:0046705,P:CDP biosynthetic process
40663,40663,GO:0051232,P:meiotic spindle elongation
40806,40806,GO:0010939,P:regulation of necrotic cell death
40807,40807,GO:0010849,"P:regulation of proton-transporting ATPase activity, rotational mechanism"
40814,40814,GO:1990127,P:intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator
40815,40815,GO:1902239,P:negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator
40838,40838,GO:0043322,P:negative regulation of natural killer cell degranulation
40858,40858,GO:0003092,P:renal water retention
40871,40871,GO:0060359,P:response to ammonium ion
40972,40972,GO:1903147,P:negative regulation of autophagy of mitochondrion
40973,40973,GO:2000853,P:negative regulation of corticosterone secretion
41012,41012,GO:0042323,"P:negative regulation of circadian sleep/wake cycle, non-REM sleep"
41021,41021,GO:0032900,P:negative regulation of neurotrophin production
41032,41032,GO:0032244,P:positive regulation of nucleoside transport
41190,41190,GO:0035998,"P:7,8-dihydroneopterin 3'-triphosphate biosynthetic process"
41198,41198,GO:0042559,P:pteridine-containing compound biosynthetic process
41290,41290,GO:0071545,P:inositol phosphate catabolic process
41476,41476,GO:0010720,P:positive regulation of cell development
41477,41477,GO:1902761,P:positive regulation of chondrocyte development
41493,41493,GO:0060847,P:endothelial cell fate specification
41531,41531,GO:1903367,P:positive regulation of fear response
41544,41544,GO:0070409,P:carbamoyl phosphate biosynthetic process
41639,41639,GO:1901341,P:positive regulation of store-operated calcium channel activity
41721,41721,GO:0014064,P:positive regulation of serotonin secretion
41722,41722,GO:0090067,P:regulation of thalamus size
41780,41780,GO:0060709,P:glycogen cell differentiation involved in embryonic placenta development
41792,41792,GO:0019049,P:mitigation of host antiviral defense response
41871,41871,GO:0110002,P:regulation of tRNA methylation
41926,41926,GO:0038111,P:interleukin-7-mediated signaling pathway
41928,41928,GO:0002335,P:mature B cell differentiation
41958,41958,GO:0044355,P:clearance of foreign intracellular DNA
42018,42018,GO:0002266,P:follicular dendritic cell activation
42019,42019,GO:0002436,P:immune complex clearance by monocytes and macrophages
42025,42025,GO:0001814,P:negative regulation of antibody-dependent cellular cytotoxicity
42040,42040,GO:0001811,P:negative regulation of type I hypersensitivity
42049,42049,GO:0002622,P:regulation of B cell antigen processing and presentation
42051,42051,GO:0090264,P:regulation of immune complex clearance by monocytes and macrophages
42137,42137,GO:0098926,P:postsynaptic signal transduction
42173,42173,GO:0048852,P:diencephalon morphogenesis
42254,42254,GO:2000526,P:positive regulation of glycoprotein biosynthetic process involved in immunological synapse formation
42256,42256,GO:0002885,P:positive regulation of hypersensitivity
42266,42266,GO:2000525,P:positive regulation of T cell costimulation
42268,42268,GO:2000547,P:regulation of dendritic cell dendrite assembly
42288,42288,GO:2000458,P:regulation of astrocyte chemotaxis
42302,42302,GO:0014056,"P:regulation of acetylcholine secretion, neurotransmission"
42323,42323,GO:0071217,P:cellular response to external biotic stimulus
42327,42327,GO:0045980,P:negative regulation of nucleotide metabolic process
42328,42328,GO:0008655,P:pyrimidine-containing compound salvage
42371,42371,GO:0044557,P:relaxation of smooth muscle
42489,42489,GO:0044524,P:protein sulfhydration
42490,42490,GO:0018272,P:protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine
42626,42626,GO:0070729,P:cyclic nucleotide transport
42635,42635,GO:0099039,P:sphingolipid translocation
42668,42668,GO:0015919,P:peroxisomal membrane transport
42679,42679,GO:0036113,P:very long-chain fatty-acyl-CoA catabolic process
42694,42694,GO:0033316,P:meiotic spindle assembly checkpoint signaling
42704,42704,GO:1903096,P:protein localization to meiotic spindle midzone
42747,42747,GO:0008052,P:sensory organ boundary specification
42748,42748,GO:0061193,P:taste bud development
42760,42760,GO:1904482,P:cellular response to tetrahydrofolate
42799,42799,GO:0045660,P:positive regulation of neutrophil differentiation
42809,42809,GO:0046272,P:stilbene catabolic process
42856,42856,GO:0061611,P:mannose to fructose-6-phosphate metabolic process
42895,42895,GO:0010578,P:regulation of adenylate cyclase activity involved in G protein-coupled receptor signaling pathway
42981,42981,GO:0044336,P:canonical Wnt signaling pathway involved in negative regulation of apoptotic process
42983,42983,GO:0061324,P:canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation
42996,42996,GO:0061550,P:cranial ganglion development
43022,43022,GO:0007403,P:glial cell fate determination
43038,43038,GO:0072497,P:mesenchymal stem cell differentiation
43139,43139,GO:1901247,P:negative regulation of lung ciliated cell differentiation
43149,43149,GO:1901251,P:positive regulation of lung goblet cell differentiation
43152,43152,GO:2000231,P:positive regulation of pancreatic stellate cell proliferation
43180,43180,GO:2000011,P:regulation of adaxial/abaxial pattern formation
43216,43216,GO:0001912,P:positive regulation of leukocyte mediated cytotoxicity
43354,43354,GO:1905226,P:regulation of adhesion of symbiont to host epithelial cell
43375,43375,GO:0140236,P:translation at presynapse
43416,43416,GO:2000184,P:positive regulation of progesterone biosynthetic process
43463,43463,GO:0001985,P:negative regulation of heart rate involved in baroreceptor response to increased systemic arterial blood pressure
43498,43498,GO:0071471,P:cellular response to non-ionic osmotic stress
43591,43591,GO:0061358,P:negative regulation of Wnt protein secretion
43650,43650,GO:2000420,P:negative regulation of eosinophil extravasation
43679,43679,GO:1904325,P:positive regulation of inhibitory G protein-coupled receptor phosphorylation
43682,43682,GO:1903596,P:regulation of gap junction assembly
43708,43708,GO:0060602,P:branch elongation of an epithelium
43768,43768,GO:0005984,P:disaccharide metabolic process
43771,43771,GO:0030211,P:heparin catabolic process
43785,43785,GO:0100001,P:regulation of skeletal muscle contraction by action potential
43806,43806,GO:0006535,P:cysteine biosynthetic process from serine
44006,44006,GO:0060854,P:branching involved in lymph vessel morphogenesis
44028,44028,GO:0051695,P:actin filament uncapping
44122,44122,GO:1990442,P:intrinsic apoptotic signaling pathway in response to nitrosative stress
44208,44208,GO:1900200,P:mesenchymal cell apoptotic process involved in metanephros development
44210,44210,GO:0061296,P:negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis
44218,44218,GO:0039020,P:pronephric nephron tubule development
44222,44222,GO:0035565,P:regulation of pronephros size
44228,44228,GO:0060677,P:ureteric bud elongation
44333,44333,GO:0080058,P:protein deglutathionylation
44544,44544,GO:0086044,P:atrial cardiac muscle cell to AV node cell communication by electrical coupling
44555,44555,GO:0003174,P:mitral valve development
44559,44559,GO:0010652,P:positive regulation of cell communication by chemical coupling
44563,44563,GO:0086055,P:Purkinje myocyte to ventricular cardiac muscle cell communication by electrical coupling
44570,44570,GO:0098906,P:regulation of Purkinje myocyte action potential
44575,44575,GO:1990029,P:vasomotion
44709,44709,GO:0006152,P:purine nucleoside catabolic process
44719,44719,GO:0070407,P:oxidation-dependent protein catabolic process
44786,44786,GO:1905285,P:fibrous ring of heart morphogenesis
44802,44802,GO:0021998,P:neural plate mediolateral regionalization
44807,44807,GO:0048352,P:paraxial mesoderm structural organization
44812,44812,GO:1904414,P:positive regulation of cardiac ventricle development
44826,44826,GO:0048378,P:regulation of lateral mesodermal cell fate specification
44873,44873,GO:0043062,P:extracellular structure organization
44931,44931,GO:0048534,P:hematopoietic or lymphoid organ development
44943,44943,GO:0001193,P:maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II
45129,45129,GO:1905317,P:inferior endocardial cushion morphogenesis
45146,45146,GO:0002663,P:positive regulation of B cell tolerance induction
45159,45159,GO:0002651,P:positive regulation of tolerance induction to self antigen
45234,45234,GO:1904597,P:negative regulation of connective tissue replacement involved in inflammatory response wound healing
45274,45274,GO:0060694,P:regulation of cholesterol transporter activity
45285,45285,GO:0045338,P:farnesyl diphosphate metabolic process
45304,45304,GO:0010464,P:regulation of mesenchymal cell proliferation
45350,45350,GO:0019682,P:glyceraldehyde-3-phosphate metabolic process
45371,45371,GO:0051585,P:negative regulation of dopamine uptake involved in synaptic transmission
45376,45376,GO:0032769,P:negative regulation of monooxygenase activity
45379,45379,GO:0051622,P:negative regulation of norepinephrine uptake
45392,45392,GO:1903284,P:positive regulation of glutathione peroxidase activity
45393,45393,GO:1903285,P:positive regulation of hydrogen peroxide catabolic process
45402,45402,GO:0035543,P:positive regulation of SNARE complex assembly
45406,45406,GO:0050812,P:regulation of acyl-CoA biosynthetic process
45414,45414,GO:0010517,P:regulation of phospholipase activity
45485,45485,GO:0070512,P:positive regulation of histone H4-K20 methylation
45589,45589,GO:0072715,P:cellular response to selenite ion
45595,45595,GO:1904570,P:negative regulation of selenocysteine incorporation
45596,45596,GO:1904574,P:negative regulation of selenocysteine insertion sequence binding
45729,45729,GO:1905164,P:positive regulation of phagosome maturation
45741,45741,GO:1904905,P:negative regulation of endothelial cell-matrix adhesion via fibronectin
45800,45800,GO:0099140,P:presynaptic actin cytoskeleton organization
45910,45910,GO:1990960,P:basophil homeostasis
45928,45928,GO:0006769,P:nicotinamide metabolic process
46014,46014,GO:0007387,P:anterior compartment pattern formation
46020,46020,GO:0007388,P:posterior compartment specification
46029,46029,GO:1901194,P:negative regulation of formation of translation preinitiation complex
46050,46050,GO:0043060,P:meiotic metaphase I plate congression
46150,46150,GO:0072663,P:establishment of protein localization to peroxisome
46151,46151,GO:1900131,P:negative regulation of lipid binding
46180,46180,GO:0045062,P:extrathymic T cell selection
46246,46246,GO:0036164,P:cell-abiotic substrate adhesion
46348,46348,GO:0071298,P:cellular response to L-ascorbic acid
46377,46377,GO:2000486,P:negative regulation of glutamine transport
46386,46386,GO:1904651,P:positive regulation of fat cell apoptotic process
46419,46419,GO:0060587,P:regulation of lipoprotein lipid oxidation
46504,46504,GO:1903464,P:negative regulation of mitotic cell cycle DNA replication
46525,46525,GO:0043380,P:regulation of memory T cell differentiation
46557,46557,GO:1904465,P:negative regulation of matrix metallopeptidase secretion
46562,46562,GO:0150072,P:positive regulation of arginase activity
46581,46581,GO:0140194,P:negative regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process
46614,46614,GO:0036517,P:chemoattraction of serotonergic neuron axon
46653,46653,GO:1904934,P:negative regulation of cell proliferation in midbrain
46671,46671,GO:0061350,P:planar cell polarity pathway involved in cardiac muscle tissue morphogenesis
46672,46672,GO:0061349,P:planar cell polarity pathway involved in cardiac right atrium morphogenesis
46674,46674,GO:1904955,P:planar cell polarity pathway involved in midbrain dopaminergic neuron differentiation
46676,46676,GO:0061347,P:planar cell polarity pathway involved in outflow tract morphogenesis
46677,46677,GO:0061354,P:planar cell polarity pathway involved in pericardium morphogenesis
46678,46678,GO:0061348,P:planar cell polarity pathway involved in ventricular septum morphogenesis
46780,46780,GO:2000719,"P:negative regulation of maintenance of mitotic sister chromatid cohesion, centromeric"
46807,46807,GO:0060398,P:regulation of growth hormone receptor signaling pathway
46861,46861,GO:0070150,P:mitochondrial glycyl-tRNA aminoacylation
46894,46894,GO:0051958,P:methotrexate transport
47001,47001,GO:0043310,P:negative regulation of eosinophil degranulation
47004,47004,GO:2000464,P:positive regulation of astrocyte chemotaxis
47005,47005,GO:2000451,"P:positive regulation of CD8-positive, alpha-beta T cell extravasation"
47029,47029,GO:0035705,P:T-helper 17 cell chemotaxis
47121,47121,GO:0072308,P:negative regulation of metanephric nephron tubule epithelial cell differentiation
47164,47164,GO:0070666,P:regulation of mast cell proliferation
47215,47215,GO:0071384,P:cellular response to corticosteroid stimulus
47227,47227,GO:0043170,P:macromolecule metabolic process
47238,47238,GO:2000224,P:regulation of testosterone biosynthetic process
47291,47291,GO:1903544,P:response to butyrate
47294,47294,GO:0014870,P:response to muscle inactivity
47424,47424,GO:0140754,P:reorganization of cellular membranes to establish viral sites of replication
47643,47643,GO:0002625,P:regulation of T cell antigen processing and presentation
47716,47716,GO:0099627,P:neurotransmitter receptor cycle
47719,47719,GO:0099630,P:postsynaptic neurotransmitter receptor cycle
47744,47744,GO:0010816,P:calcitonin catabolic process
47748,47748,GO:0034959,P:endothelin maturation
47771,47771,GO:0033274,P:response to vitamin B2
47814,47814,GO:0098810,P:neurotransmitter reuptake
47839,47839,GO:0042883,P:cysteine transport
47842,47842,GO:0070777,P:D-aspartate transport
47867,47867,GO:0098877,P:neurotransmitter receptor transport to plasma membrane
47872,47872,GO:0090313,P:regulation of protein targeting to membrane
47874,47874,GO:0072347,P:response to anesthetic
47889,47889,GO:0034589,P:hydroxyproline transport
47899,47899,GO:0015826,P:threonine transport
48104,48104,GO:0002204,P:somatic recombination of immunoglobulin genes involved in immune response
48129,48129,GO:0045002,P:double-strand break repair via single-strand annealing
48151,48151,GO:0051866,P:general adaptation syndrome
48266,48266,GO:0032752,P:positive regulation of interleukin-3 production
48285,48285,GO:0090237,P:regulation of arachidonic acid secretion
48292,48292,GO:0032928,P:regulation of superoxide anion generation
48325,48325,GO:0071693,P:protein transport within extracellular region
48401,48401,GO:0031128,P:developmental induction
48406,48406,GO:0021877,P:forebrain neuron fate commitment
48437,48437,GO:1903612,P:positive regulation of calcium-dependent ATPase activity
48452,48452,GO:0006083,P:acetate metabolic process
48493,48493,GO:0032272,P:negative regulation of protein polymerization
48520,48520,GO:0031343,P:positive regulation of cell killing
48589,48589,GO:0140207,P:tripeptide import across plasma membrane
48651,48651,GO:1901582,P:positive regulation of telomeric RNA transcription from RNA pol II promoter
48666,48666,GO:1990859,P:cellular response to endothelin
48701,48701,GO:0061847,P:response to cholecystokinin
48735,48735,GO:1903977,P:positive regulation of glial cell migration
48878,48878,GO:0003182,P:coronary sinus valve morphogenesis
48894,48894,GO:0007440,P:foregut morphogenesis
48952,48952,GO:0003270,P:Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation
48982,48982,GO:0060768,P:regulation of epithelial cell proliferation involved in prostate gland development
48990,48990,GO:0042670,P:retinal cone cell differentiation
49001,49001,GO:0060843,P:venous endothelial cell differentiation
49115,49115,GO:0021700,P:developmental maturation
49117,49117,GO:0051915,P:induction of synaptic plasticity by chemical substance
49147,49147,GO:0044111,P:formation of structure involved in a symbiotic process
49156,49156,GO:0046824,P:positive regulation of nucleocytoplasmic transport
49185,49185,GO:1903703,P:enterocyte differentiation
49260,49260,GO:0046874,P:quinolinate metabolic process
49279,49279,GO:1903496,P:response to 11-deoxycorticosterone
49280,49280,GO:1903494,P:response to dehydroepiandrosterone
49306,49306,GO:1903697,P:negative regulation of microvillus assembly
49308,49308,GO:1904442,P:negative regulation of thyroid gland epithelial cell proliferation
49385,49385,GO:0021768,P:nucleus accumbens development
49438,49438,GO:0090075,P:relaxation of muscle
49489,49489,GO:0061682,P:seminal vesicle morphogenesis
49530,49530,GO:0009114,P:hypoxanthine catabolic process
49544,49544,GO:0009115,P:xanthine catabolic process
49558,49558,GO:0035782,P:mature natural killer cell chemotaxis
49565,49565,GO:2000518,P:negative regulation of T-helper 1 cell activation
